E:\DocsHouse\758>python3.13 cable_neuron.py
=======================================================
BiologicalCableNeuron — semi-implicit PDE + AIS grating
=======================================================
Device : cuda
Params : 71  (cable geometry + AIS + gamma + threshold)
Trial  : 200 steps × 0.5 ms = 100 ms
τ_m    ≈ 125 ms  (inter-pulse gap = 50 ms)

Temporal XOR requires physical wave interference.
A linear Fourier synthesizer cannot solve this task.
The cable nonlinearity is the computation.

ep 0356  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.26
ep 0357  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.26
ep 0358  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.26
ep 0359  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.25
ep 0360  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.25
ep 0361  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.25
ep 0362  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.24
ep 0363  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.24
ep 0364  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.23
ep 0365  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.23
ep 0366  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.23
ep 0367  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.22
ep 0368  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.22
ep 0369  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.22
ep 0370  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.21
ep 0371  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.21
ep 0372  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.21
ep 0373  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.20
ep 0374  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.20
ep 0375  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.20
ep 0376  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.20
ep 0377  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.19
ep 0378  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.19
ep 0379  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.19
ep 0380  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.18
ep 0381  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.18
ep 0382  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.18
ep 0383  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.17
ep 0384  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.17
ep 0385  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.17
ep 0386  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.16
ep 0387  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.16
ep 0388  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.16
ep 0389  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.16
ep 0390  loss 0.0000  acc 100.0%  best 100.0%  AIS@9.9  T=1.15
